,optA,value,slr,L,s1,lon,lat
France86,fullRetreat,344.12478243,0.321915,5.611,4.227,-1.068,46.059
France87,fullRetreat,4627.6696131,0.321915,44.817,4.307,-1.13,45.876
France88,fullRetreat,140.43744315,0.321915,13.975,3.234,-1.227,45.703
France89,fullRetreat,1131.87249077,0.321915,14.997,3.495,-1.103,45.664
France90,fullRetreat,3451.03673704,0.321915,10.644,3.496,-0.999,45.614
France91,fullRetreat,1105.4570554,0.321915,42.219,4.044,-0.8,45.484
France96,fullRetreat,1303.39472696,0.321915,35.67,3.626,-0.677,45.164
France8837,fullRetreat,2760.16063718,0.321915,71.061,3.501,-1.524,46.251
France8838,fullRetreat,2347.75296165,0.321915,78.412,3.551,-1.37,46.046
France92,fullRetreat,2038.53576209,0.321915,113.827,3.563,-0.886,45.425
France93,fullRetreat,8441.4125617,0.321915,12.434,3.412,-0.591,44.961
France95,fullProtect,0.450415,0.321915,18.949,3.379,-0.54,44.978
France97,fullRetreat,471.358413202,0.334305,117.399,2.219,-1.238,44.82
France94,fullProtect,0.724915,0.321915,2.651,3.288,-0.549,44.907
France98,fullRetreat,3105.70379521,0.334305,10.227,2.337,-1.168,44.648
France99,fullRetreat,62.6100878396,0.334305,126.236,1.951,-1.337,44.075
France100,fullRetreat,2478.81870309,0.334305,4.048,1.749,-1.519,43.527
France101,fullRetreat,359.127584062,0.33377,12.692,2.147,-1.673,43.385
France102,fullRetreat,201.994551829,0.33377,0.553,1.966,-1.623,43.415
France103,fullRetreat,210.748908192,0.33377,7.091,1.934,-1.595,43.435
France104,fullRetreat,1312.66971992,0.334305,5.943,1.805,-1.557,43.479
France105,fullRetreat,688.935195538,0.334305,1.782,1.787,-1.535,43.506
France106,fullRetreat,270.107159249,0.33377,6.037,2.599,-1.755,43.369
France3205,fullProtect,0.51267,0.36767,2.734,5.488,2.53,51.087
France3202,fullProtect,0.89267,0.36767,11.2,5.367,2.409,51.056
France3203,fullProtect,0.50117,0.36767,4.785,5.429,2.479,51.073
France3204,fullProtect,0.52317,0.36767,2.118,5.509,2.509,51.081
France3206,fullProtect,0.96467,0.36767,17.014,5.23,2.174,51.029
