Unnamed: 0,optA,value,slr,L,s1,lon,lat
Maldives9677,fullRetreat,2008.48018865,0.48218,4.428,1.0070000000000001,72.962,4.269
Maldives9679,fullRetreat,1677.8692515999999,0.48218,2.283,1.5859999999999999,72.98,4.273
Maldives9686,fullRetreat,840.835390192,0.48218,1.215,1.865,72.935,4.082
Maldives9691,fullProtect,0.8361799999999999,0.48218,0.9940000000000001,1.955,72.94800000000001,4.044
Maldives9692,fullRetreat,2202.75923552,0.48218,1.3559999999999999,2.074,72.939,4.02
Maldives9693,fullRetreat,0.0,0.48218,1.072,2.04,72.94800000000001,4.003
Maldives9722,fullRetreat,1058.81295827,0.48218,0.897,0.996,73.4,4.57
Maldives9728,fullRetreat,840.835390192,0.48218,2.131,2.244,73.562,4.664
Maldives9730,fullRetreat,1039.63093228,0.48218,2.8930000000000002,0.9790000000000001,73.475,4.189
Maldives9736,fullRetreat,1027.42418846,0.48218,5.627999999999999,0.965,73.5,4.192
Maldives9737,fullRetreat,1041.37475282,0.48218,0.9,0.977,73.51100000000001,4.197
Maldives9738,fullRetreat,1041.37475282,0.48218,1.127,0.977,73.525,4.19
Maldives9739,fullRetreat,1041.37475282,0.48218,4.6419999999999995,0.977,73.52199999999999,4.21
Maldives9743,fullRetreat,1681.67078038,0.48218,3.447,2.2230000000000003,73.48,3.952
Maldives9745,fullRetreat,1051.83767609,0.48218,2.0,0.996,73.402,3.682
Maldives9759,fullProtect,0.77018,0.48218,0.953,1.724,73.51899999999999,3.497
Maldives9761,fullRetreat,1845.27602388,0.48218,1.9880000000000002,1.724,73.525,3.4930000000000003
Maldives9763,fullRetreat,1064.0444198999999,0.48218,1.6669999999999998,1.003,73.532,3.4760000000000004
Maldives9764,fullRetreat,1909.79738403,0.48218,1.712,1.784,73.536,3.466
Maldives9676,fullProtect,0.70418,0.48218,1.074,1.003,72.77600000000001,3.645
Maldives9684,fullRetreat,1051.83767609,0.48218,0.9470000000000001,1.02,72.75399999999999,3.5239999999999996
Maldives9685,fullRetreat,1051.83767609,0.48218,1.028,1.02,72.759,3.523
Maldives9687,fullRetreat,840.835390192,0.48218,1.212,1.9469999999999998,72.763,3.523
Maldives9688,fullProtect,0.83068,0.48218,0.892,1.9469999999999998,72.768,3.522
Maldives9689,fullRetreat,840.835390192,0.48218,2.525,1.9469999999999998,72.773,3.52
Maldives9690,fullProtect,0.83068,0.48218,1.081,1.946,72.78399999999999,3.515
Maldives9694,fullRetreat,1030.91182955,0.48218,4.244,1.001,72.789,3.515
Maldives9696,fullRetreat,0.0,0.48218,1.9069999999999998,1.004,72.82,3.5060000000000002
Maldives9699,fullRetreat,1053.58149663,0.48218,4.044,1.021,72.83,3.509
Maldives9700,fullRetreat,1046.60621445,0.48218,2.801,1.014,72.845,3.509
Maldives9701,fullRetreat,1048.350035,0.48218,1.1320000000000001,1.016,72.861,3.509
Maldives9702,fullRetreat,1051.83767609,0.48218,3.0860000000000003,1.0190000000000001,72.87100000000001,3.517
Maldives9703,fullRetreat,1670.89396942,0.48218,2.766,1.588,72.888,3.53
Maldives9704,fullRetreat,4268.78550214,0.48218,7.24,1.138,72.92,3.5669999999999997
Maldives9709,fullRetreat,1032.6556501,0.48218,3.238,1.002,72.892,3.072
Maldives9718,fullRetreat,1025.68036792,0.48218,2.399,0.9990000000000001,72.848,2.897
Maldives9720,fullRetreat,1027.42418846,0.48218,2.715,1.001,72.859,2.8680000000000003
Maldives9723,fullRetreat,1025.68036792,0.48218,1.528,1.0,72.863,2.705
Maldives9724,fullRetreat,1025.68036792,0.48218,3.136,1.0,72.87,2.698
Maldives9726,fullRetreat,1025.68036792,0.48218,3.799,0.9990000000000001,72.906,2.682
Maldives9729,fullRetreat,1037.88711173,0.48218,2.158,1.006,73.01899999999999,2.735
Maldives9731,fullRetreat,1987.55434211,0.48218,4.667,1.003,73.032,2.753
Pakistan1605,fullRetreat,281.952173517,0.42251000000000005,39.688,2.6839999999999997,61.782,25.171999999999997
Pakistan1628,fullRetreat,15687.1354627,0.42251000000000005,50.473,3.102,68.152,23.844
Pakistan1606,fullRetreat,124.300071485,0.42251000000000005,43.733999999999995,2.427,61.916000000000004,25.114
Pakistan1607,fullRetreat,4524.64396243,0.42251000000000005,330.436,2.615,63.477,25.261
Pakistan1608,fullRetreat,246.063215668,0.42251000000000005,151.187,2.537,64.83,25.323
Pakistan1609,fullRetreat,1974.74233829,0.42251000000000005,22.28,2.6039999999999996,65.564,25.36
Pakistan1610,fullRetreat,2001.24894686,0.42251000000000005,30.521,2.612,65.794,25.381999999999998
Pakistan1611,fullRetreat,1577.14320978,0.42251000000000005,23.581,2.61,66.03399999999999,25.421999999999997
Pakistan1612,fullRetreat,5592.89440778,0.42251000000000005,180.68099999999998,2.6189999999999998,66.14699999999999,25.508000000000003
Pakistan1613,fullRetreat,92.7731299868,0.42251000000000005,12.793,2.595,66.733,25.195999999999998
Pakistan1614,fullRetreat,172.29295569,0.42251000000000005,25.714000000000002,2.499,66.697,25.03
Pakistan1615,fullRetreat,2172.14553224,0.42251000000000005,4.586,2.5380000000000003,66.685,24.898000000000003
Pakistan1616,fullRetreat,1161.60999012,0.42251000000000005,3.71,2.639,66.691,24.883000000000003
Pakistan1617,fullRetreat,38690.931177499995,0.42251000000000005,29.273000000000003,2.552,66.726,24.84
Pakistan1618,fullProtect,0.5030100000000001,0.42251000000000005,21.206999999999997,2.574,66.94800000000001,24.83
Pakistan1619,fullRetreat,68288.5916349,0.42251000000000005,26.373,2.898,67.158,24.791
Pakistan1620,fullRetreat,38747.3510379,0.42251000000000005,118.67200000000001,2.734,67.285,24.298000000000002
Pakistan1621,fullRetreat,0.0,0.42251000000000005,13.487,3.02,67.525,23.875999999999998
Pakistan1622,fullRetreat,818.2290237999999,0.42251000000000005,17.655,2.977,67.632,23.805
Pakistan1623,fullRetreat,0.0,0.42251000000000005,1.284,2.81,67.714,23.791
Pakistan1624,fullRetreat,4192.34528914,0.42251000000000005,34.679,2.753,67.844,23.846999999999998
Pakistan1625,fullRetreat,0.0,0.42251000000000005,18.855,2.697,67.99,23.783
Pakistan1626,fullRetreat,16837.9999555,0.42251000000000005,43.81100000000001,2.9930000000000003,68.057,23.889
Pakistan1627,fullRetreat,0.0,0.42251000000000005,1.036,2.844,68.079,23.706
SriLanka9967,fullRetreat,173.756865065,0.44703000000000004,56.653,0.953,79.719,9.1
