year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
2055,0.03348018466986686,0.02391441762133347,0.017218380687360098,0.06372007571866616,0.004706934215660149,0.019716904830780188,0.014736408004927298,0.017899253831237524,0.024363761420428332,0.24510456366814243,0.3803506039656653,0.1547885113659322
2056,0.03358589490770228,0.023992202228120173,0.01731110230481882,0.0640898709769845,0.004733227547768876,0.017761587111264198,0.013274876818565533,0.01607047043849604,0.02435223719715316,0.24467092411575067,0.3836550215147512,0.15650258483862448
2057,0.033685665312132025,0.02405649623555893,0.01739914199783409,0.06447224343747171,0.004758169936275185,0.015995669154942327,0.011954950276319709,0.0144248551189405,0.024329902221352766,0.24413192748694976,0.38670011681140964,0.15809086201081335
2058,0.0337793721548327,0.024107635849760826,0.017482489755957904,0.06486609858292139,0.004781845549961835,0.01440178133643463,0.010763635527214307,0.012944902962602263,0.02429740496927928,0.2435039120600265,0.3895108943372544,0.15956002691375387
2059,0.03386683971281088,0.024145911731054914,0.017561103024851067,0.06527030725882807,0.004804330316658029,0.012963929327552453,0.009688969604702075,0.011614587108358006,0.02425524983106346,0.24280157716425693,0.39211087501541725,0.16091631990444674
2060,0.03394789730345503,0.024171612910456303,0.01763493663784474,0.0656837021488397,0.0048257003070856135,0.011667451867533433,0.008719987542270387,0.010419294703343797,0.02420380636997562,0.24203806369975614,0.39452204383060246,0.16216550267883664
2061,0.03402240835589185,0.02418505034965767,0.017703958482168197,0.06610507399919167,0.00484603618363415,0.010498949602379975,0.0078466689132502,0.00934573845555108,0.024143511185903365,0.24122500302173758,0.39676404120214315,0.16331356024849122
2062,0.03409023093033797,0.024186531373072306,0.01776812953092152,0.06653316764958529,0.004865417861123964,0.009446187557155948,0.007059864705511331,0.008381846669552578,0.024075449969213084,0.24037249802401559,0.3988518316594977,0.16436884407001265
2063,0.03415120235950751,0.024176351234751838,0.017827396213246943,0.06696667850970466,0.004883922498760357,0.008498011734093371,0.0063512347889098575,0.007516668093481787,0.024000790937920617,0.23948946611727143,0.4007983379254664,0.1653399395868853
2064,0.03420515119287929,0.0241548039537113,0.01788169695624284,0.0674042494676843,0.004901626329216352,0.007644274963312689,0.0057131923283542455,0.006740286963575074,0.023920601793309154,0.23858380817784355,0.40261534436472873,0.16623496350914244
2065,0.03425190563847309,0.024122190421098977,0.01793096692800296,0.06784446812120946,0.004918605955871567,0.006875761842135315,0.005138847541943696,0.006043739086977435,0.023835857883902956,0.23766250645126105,0.4043135704831829,0.16706157964594043
2066,0.034291271514029914,0.02407880483922527,0.01797512681207095,0.06828586434228931,0.004934935227150486,0.006184110001933714,0.004621948736872269,0.005418926510122558,0.02374745243907031,0.23673173945051093,0.40590278506732735,0.16782703505939683
2067,0.034323067886796906,0.02402496166331483,0.01801410175161484,0.06872690854294075,0.004950690338232625,0.005561746888032741,0.004156834958801758,0.004858547545451186,0.023656201431040833,0.23579694023491318,0.40739183488797087,0.1685381638708893
2068,0.03434715895856916,0.023961019294675725,0.018047838445772534,0.06916601044660506,0.004965954405990877,0.005001825938771104,0.003738388208787231,0.0043560277715612265,0.023562848571070393,0.2348628535010529,0.408788678790694,0.16920139566644976
2069,0.034363411694460964,0.023887351479135056,0.018076283273049106,0.0696015183233323,0.004980811300322238,0.004498154911946906,0.0033619798051330394,0.0039054456681558427,0.023468075638859807,0.23393364369585298,0.410100518346462,0.16982280586328982
2070,0.03437169095660133,0.023804345081275168,0.018099379989737013,0.07003171908699563,0.004995344788618225,0.004045137346232566,0.0030234265739290853,0.0035014711440148833,0.023372509016940848,0.23301296354623577,0.4113338692265044,0.170408143242915
2071,0.03437179743098175,0.023712358288573626,0.0181170372492847,0.07045485828026686,0.005011966515526155,0.003637712518005986,0.0027189459248205534,0.0031393040288452867,0.023276664466467385,0.23210340534958002,0.412493542795695,0.17096240715195274
2072,0.03436357874009176,0.02361179865681881,0.018129187304036568,0.07086920049237967,0.0050282299049897025,0.0032713198578737425,0.0024451292168475194,0.002814634848876969,0.023181142720244494,0.23120845185663377,0.41358606281601934,0.17149126358518768
2073,0.0343469199752305,0.023503116621364922,0.018135781361564456,0.07127297584846409,0.005044012055219286,0.0029418495392723163,0.0021989047963376367,0.0025235945566451073,0.023086436036381455,0.23033054775760586,0.4146162357323973,0.17199962571951696
2074,0.03432172296948585,0.02338679122549332,0.018136778940094075,0.07166436449661448,0.005059189012695451,0.0026455972552969025,0.0019775041708889585,0.0022627088381198023,0.022992999674420343,0.22947181128840402,0.41558837096547857,0.17249216116300828
2075,0.03428791494679574,0.02326333587987835,0.01813215268963979,0.07204158400466353,0.005073637005777171,0.0023792233017345533,0.0017784314066437309,0.00202885698749216,0.022901253106494792,0.22863404477799096,0.4165062742792758,0.17297329161361333
2076,0.034246360318180555,0.023133913802018676,0.01812237114585781,0.07240474305212452,0.005087367924741596,0.0021397207612867198,0.00159943933231316,0.001819239318663944,0.02281147503650631,0.22781768413376965,0.41737129929111927,0.1734463858834177
2077,0.034198810823026976,0.023000290192037372,0.018108374057657584,0.07275594364497001,0.005100524667573556,0.0019243791897166612,0.00143850238422143,0.0016313413977916134,0.022723810040227214,0.22702186082971143,0.4181823866444244,0.1739137761286418
2078,0.03414700915620528,0.022864218256066406,0.018091098731669555,0.07309749370395643,0.005113249709256673,0.0017307555030315642,0.0012937948364274388,0.0014629050409096195,0.022638378569458738,0.22624549687215995,0.41893802623662213,0.1743775733842363
