year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
2047,0.032239463244115064,0.02274640022864714,0.0161520835535525,0.06086514176045136,0.0044046618851149855,2.683664326151234e-09,2.1748161512156843e-09,4.4753031005282193e-11,0.027817947245172298,0.28154643498974524,0.3965653572707296,0.15766250491923833
2048,0.032382074577051174,0.02290016783520213,0.016299509910625173,0.06110128647776559,0.00444330193829278,1.291583191640968e-09,1.0495593519165329e-09,1.8499904461128056e-11,0.02753498593754769,0.2786931748029188,0.39793159511944526,0.15871390104150904
2049,0.03251396364321252,0.02304363570293658,0.016432930968146665,0.061356713797631156,0.004481147446085359,6.218321101508647e-10,5.06835761013376e-10,7.652226195692147e-12,0.027270863638350292,0.27594622845356764,0.39922218695523426,0.15973232825851552
2050,0.032640948470197266,0.023179803986082114,0.01655700284720151,0.061632340875375224,0.0045176964911649835,2.9935061147740334e-10,2.4475980780405894e-10,3.165225887160723e-12,0.027023412855042863,0.27329667736707547,0.4004374622875174,0.16071465427306758
2051,0.03276767829376666,0.023310881498458752,0.01667561907442991,0.061928757984120286,0.004552547472694565,1.441986573428422e-10,1.1822586768364918e-10,1.3099937079472772e-12,0.02679063448505169,0.2707369626017861,0.401578703637196,0.16165821468876146
2052,0.03289424454009533,0.023436002821437887,0.016789697284004007,0.06224524813584078,0.004585715053486442,6.948533616413173e-11,5.713133566083583e-11,5.419666887461228e-13,0.02657098901582235,0.2682634715289218,0.4026521823371851,0.1625624491560475
2053,0.03301955653897556,0.023553475079247134,0.01689939274947141,0.06258074832260067,0.004617318300460591,3.3476405722016646e-11,2.7615902767284888e-11,2.2447100242133436e-13,0.026363081683741352,0.2658737312831144,0.40366532718456316,0.1634273687965089
2054,0.03314246297028545,0.023661544444632292,0.017004822268475894,0.06293417397605444,0.004647458852416897,1.6138508822654513e-11,1.335388075713476e-11,9.297906317578731e-14,0.026165593955529847,0.2635655112967605,0.4046254142637165,0.16425301794254274
2055,0.03326178469973701,0.02375841764266929,0.01710606070272189,0.06330441309761348,0.004676231545784269,7.78325761973846e-12,6.457537915277513e-12,3.8521898365823985e-14,0.02597726853483699,0.26133677325703975,0.40553956777138195,0.16503948273393604
2056,0.03337650925846134,0.023842627329889315,0.017203179590097952,0.0636903119624721,0.004703718013666918,3.7531931601050176e-12,3.1237727164086034e-12,1.5964044990272897e-14,0.025796882585109236,0.2591854927120838,0.4064145189614104,0.16578675957991593
2057,0.03348630975787422,0.023914126999389093,0.017296171463744552,0.06409068382037209,0.0047300104477778,1.8105093088607251e-12,1.5113028416346644e-12,6.61403769657608e-15,0.025623201975437108,0.2571091909947723,0.4072558446343072,0.16649445990299713
2058,0.03359096045110168,0.023973169612774525,0.01738497918069397,0.06450429130427203,0.004755174994234698,8.736117550887259e-13,7.31518276851403e-13,2.74283471627802e-15,0.025455032356270724,0.2551054497705643,0.4080688111726794,0.1671621311558008
2059,0.03369018100686786,0.02401996157778038,0.017469499126880422,0.06492984165514647,0.004779268429456715,4.216763077840738e-13,3.5407567999163324e-13,1.1375520830083502e-15,0.02529123240438015,0.2531720563068371,0.4088586194374,0.16778934005447418
2060,0.033783690138023056,0.024054694986354788,0.017549638100615474,0.06536598958747247,0.004802360500483465,2.0356244480586754e-13,1.7141594051973997e-13,4.717547627498628e-16,0.0251306933456122,0.25130694789317487,0.40963032944511435,0.16837565600277382
2061,0.033871223161415616,0.024077578354597548,0.01762528733331118,0.06581132331695572,0.004824500400398934,9.829612692160204e-14,8.303995005164809e-14,1.9572323111010547e-16,0.024972546244183255,0.24950812951209275,0.41038802931992213,0.16892138235694137
2062,0.033952504217708214,0.02408881919583467,0.01769634435576784,0.06626437121072293,0.004845759110480276,4.745971155162133e-14,4.0207778491217415e-14,8.119064668828962e-17,0.024816725315845545,0.24777346883339596,0.4111323150356206,0.16942969272453637
2063,0.03402723422100607,0.024088589249320662,0.017762683078721385,0.0667235847841306,0.004866194230832092,2.2921711286446457e-14,1.9479808510029892e-14,3.369467251884632e-17,0.02466336756720383,0.24610094398849586,0.41186299628505124,0.16990440659519576
2064,0.03409508311585065,0.024077074171519414,0.01782415526493255,0.06718734900472119,0.004885851607777976,1.1070852372003325e-14,9.43632811258459e-15,1.398372097759433e-17,0.02451262853447402,0.24448868426661385,0.41257994860684066,0.1703492254272492
2065,0.034155727034137,0.02405445267268383,0.017880614494757422,0.0676539568211749,0.0049047957649879705,5.347934854062958e-15,4.5726801952734286e-15,5.803390844381507e-18,0.0243646475863482,0.24293494586432715,0.41328309186876505,0.17076776789280845
2066,0.03420880216547974,0.024020898024906603,0.01793190034659533,0.06812164224922516,0.004923067826383118,2.5842914436961397e-15,2.2160901328100054e-15,2.409776803690028e-18,0.02421956942381384,0.24143813847563528,0.4139724256742005,0.17116355581375556
2067,0.03425396791919689,0.023976592739735045,0.01797783438046011,0.06858854295411558,0.004940725198459914,1.2489538407829965e-15,1.0737746177573292e-15,1.0007421529466287e-18,0.02407754531845784,0.23999677413629028,0.41464798231062816,0.171540035042654
2068,0.03429090222513243,0.02392177063110496,0.018018275371840912,0.06905271950758372,0.00495782130400024,6.033244694005241e-16,5.206026414942124e-16,4.15540966650328e-19,0.023938731082527184,0.2386094482523919,0.4153097863850457,0.17190054524037182
2069,0.034319291143975944,0.023856680484042624,0.018053074306281145,0.06951214997894438,0.004974414456592132,2.9171295792986507e-16,2.523836670277817e-16,1.7258150280800437e-19,0.023803265241038693,0.23727486995292632,0.4159579020463485,0.17224835238984973
2070,0.034338814147051804,0.023781579010617285,0.018082067000238823,0.06996473545563117,0.004990567029822909,1.4098351859249717e-16,1.2236870357125772e-16,7.166454254825698e-20,0.02367130744152632,0.2359918376681132,0.4165924236644863,0.17258666858251204
